Designator,Mid X,Mid Y,Layer,Rotation
C1,88.3666,-129.6162,top,-90
C2,88.3412,-116.1288,top,90
C3,86.2838,-129.6377,top,-90
C4,149.822,-57.0699,top,-90
C6,145.4096,-61.1632,top,90
D1,155.6658,-68.6816,top,90
D2,176.6208,-71.8566,top,-90
D3,167.7308,-69.9516,top,90
D4,151.6267,-70.1548,top,-90
D5,171.8608,-69.9516,top,90
D6,159.2472,-69.7038,top,-90
D11,120.202,-68.7008,top,90
D12,141.157,-71.8758,top,-90
D13,132.267,-69.9708,top,90
D14,116.1629,-70.174,top,-90
D15,136.397,-69.9708,top,90
D16,123.7834,-69.723,top,-90
D17,84.6982,-68.7324,top,90
D18,105.6532,-71.9074,top,-90
D19,96.7632,-70.0024,top,90
D20,80.6591,-70.2056,top,-90
D21,100.8932,-70.0024,top,90
D22,88.2796,-69.7546,top,-90
J1,153.6134,-64.7508,top,90
J3,169.0008,-58.5216,top,180
J5,118.1496,-64.77,top,90
J7,133.537,-58.5408,top,180
J8,82.6458,-64.8016,top,90
J10,98.0332,-58.5724,top,180
Q1,155.0783,-73.1774,top,90
Q2,163.2858,-74.3966,top,90
Q4,119.6145,-73.1966,top,90
Q5,127.822,-74.4158,top,90
Q6,84.3026,-73.2282,top,90
Q7,92.3182,-74.4474,top,90
R1,163.2858,-68.0466,top,0
R2,163.2858,-71.2216,top,0
R3,167.4114,-62.23,top,180
R4,167.7308,-73.1266,top,180
R5,157.9118,-73.406,top,-90
R6,170.9674,-62.23,top,180
R7,171.5408,-73.1266,top,180
R8,159.4358,-73.406,top,-90
R9,167.386,-65.4558,top,0
R10,170.942,-65.5066,top,0
R11,152.2984,-77.8256,top,-90
R12,162.3314,-78.9432,top,-90
R13,173.7868,-63.0174,top,-90
R14,84.074,-124.7394,top,90
R17,127.822,-68.0658,top,0
R18,127.822,-71.2408,top,0
R19,131.9476,-62.2492,top,180
R20,132.267,-73.1458,top,180
R21,122.448,-73.4252,top,-90
R22,135.5036,-62.2492,top,180
R23,136.077,-73.1458,top,180
R24,123.972,-73.4252,top,-90
R25,131.9222,-65.475,top,0
R26,135.4782,-65.5258,top,0
R27,119.5524,-76.1684,top,0
R28,123.9612,-76.1492,top,180
R29,92.3182,-68.0974,top,0
R30,92.3182,-71.2724,top,0
R31,96.4438,-62.2808,top,180
R32,96.7632,-73.1774,top,180
R33,86.9442,-73.4568,top,-90
R34,99.9998,-62.2808,top,180
R35,100.5732,-73.1774,top,180
R36,88.4682,-73.4568,top,-90
R37,96.4184,-65.5066,top,0
R38,99.9744,-65.5574,top,0
R39,84.3026,-76.2508,top,0
R40,92.3798,-77.6732,top,0
R41,138.323,-63.0366,top,-90
R42,102.8192,-63.0682,top,-90
U1,105.6894,-107.7976,top,180
